Name,Allegiances,Book of Death,Male,Nobility,Book1,Book2,Book3,Book4,Book5
Addam Marbrand,Lannister,,1,1,1,1,1,1,0
Aegon Frey (Jinglebell),None,3,1,1,0,0,1,0,0
Aegon Targaryen,House Targaryen,,1,1,0,0,0,0,1
Adrack Humble,House Greyjoy,5,1,1,0,0,0,0,1
Aemon Costayne,Lannister,,1,1,0,0,1,0,0
Aemon Estermont,Baratheon,,1,1,0,1,1,0,0
Aemon Targaryen (son of Maekar I),Night's Watch,4,1,1,1,0,1,1,0
Aenys Frey,None,5,0,1,1,1,1,0,1
Aeron Greyjoy,House Greyjoy,,1,1,0,1,0,1,0
Aethan,Night's Watch,,1,0,0,0,1,0,0
Aggar,House Greyjoy,2,1,0,0,1,0,0,0
Aggo,House Targaryen,,1,0,1,1,1,0,1
Alan of Rosby,Night's Watch,5,1,1,0,1,1,0,1
Alayaya,None,,0,0,0,1,0,0,0
Albar Royce,Arryn,,1,1,1,0,0,1,0
Albett,Night's Watch,,1,0,1,0,0,0,0
Alebelly,House Stark,2,1,0,0,1,0,0,0
Alerie Hightower,House Tyrell,,0,1,0,0,1,1,0
Alesander Staedmon,Baratheon,,1,1,0,1,0,0,0
Alester Florent,Baratheon,4,1,1,0,1,1,0,0
Alia of Braavos,None,,0,0,1,0,0,0,0
Alla Tyrell,House Tyrell,,0,1,0,0,1,1,0
Allard Seaworth,Baratheon,2,1,1,0,1,0,0,0
Alliser Thorne,Night's Watch,,1,0,1,1,1,0,1
Alyn,House Stark,3,1,0,1,0,0,0,0
Alyn Ambrose,Tyrell,,1,1,0,1,0,1,0
Alyn Estermont,Baratheon,,1,1,0,1,1,0,0
Alyn Stackspear,Lannister,,1,1,0,0,0,1,0
Alys Karstark,Stark,,0,1,0,0,0,0,1
Alysane Mormont,Stark,,0,1,0,0,0,0,1
Alyx Frey,None,,1,1,0,0,1,0,0
Ambrode,Greyjoy,,1,0,0,1,0,0,0
Amory Lorch,House Lannister,2,1,1,0,1,0,0,0
Andar Royce,Arryn,,1,1,1,0,0,0,0
Andrew Estermont,Baratheon,,1,1,0,0,1,0,0
Andrey Dalt,Martell,,1,1,0,0,0,1,0
Andrik,Greyjoy,,1,1,0,0,0,1,0
Anguy,None,,1,0,1,0,1,0,0
Antario Jast,Lannister,,1,1,0,1,0,0,0
Anvil Ryn,None,3,1,0,0,0,1,0,0
Anya Waynwood,Arryn,,0,1,1,0,0,1,0
Archibald Yronwood,Martell,,1,1,0,0,0,0,1
Ardrian Celtigar,Baratheon,,1,1,0,1,1,0,0
Areo Hotah,House Martell,,1,0,0,0,0,1,1
Arianne Martell,House Martell,,0,1,0,0,0,1,1
Arneld,Lannister,,1,0,0,1,0,0,0
Arnolf Karstark,Stark,,1,1,0,0,0,0,1
Aron Santagar,Lannister,2,1,1,1,1,0,0,0
Arron,Night's Watch,,1,0,0,0,1,0,1
Arron Qorgyle,Martell,,1,1,0,0,1,0,0
Arryk (Guard),House Tyrell,,1,0,0,0,1,1,0
Arson,Wildling,,1,0,0,0,1,0,0
Arthor Karstark,Stark,,1,1,0,0,0,0,1
Arwyn Frey,None,,0,1,0,0,1,0,0
Arwyn Oakheart,Tyrell,,0,1,0,1,0,0,0
Arya Stark,Stark,,0,1,1,1,1,1,1
Arys Oakheart,Lannister,4,1,1,1,1,0,1,0
Asha Greyjoy,House Greyjoy,,0,1,0,1,0,1,1
Aurane Waters,Lannister,,1,0,0,1,0,1,0
Axell Florent,Baratheon,,1,1,0,1,1,0,1
Azzak,None,,1,1,0,0,0,0,1
Ballabar,Lannister,,1,0,0,1,0,0,0
Balon Swann,Lannister,,1,1,1,1,1,1,1
Bannen,Night's Watch,3,1,0,0,0,1,0,0
Barbrey Dustin,Stark,,0,1,0,0,0,0,1
Barra,None,2,0,0,1,0,0,0,0
Barristan Selmy,Targaryen,,1,1,1,1,1,0,1
Barsena,None,5,0,0,0,0,0,0,1
Barth (brewer),House Stark,,1,0,0,1,0,0,0
Bass,Night's Watch,,1,0,1,0,0,0,0
Bayard Norcross,Tyrell,,1,1,0,0,0,1,0
Bearded Ben,Night's Watch,,1,0,0,0,0,1,0
Becca,House Arryn,,0,0,1,0,0,0,0
Becca the Baker,None,3,0,0,0,0,1,0,0
Bedwyck,Night's Watch,,1,0,0,1,1,0,1
Belaquo,None,,1,0,0,0,0,0,1
Bella,None,,0,0,0,0,1,0,0
Bellegere Otherys (courtesan),None,,0,1,0,0,0,1,0
Bellonara Otherys,None,,0,1,0,0,0,1,0
Belwas,House Targaryen,,1,0,0,1,1,0,1
Ben,None,,1,0,0,0,0,1,0
Ben Bones,None,,1,0,0,0,0,0,1
Ben Plumm,None,,1,0,0,0,1,0,1
Benedar Belmore,Arryn,,1,1,0,0,0,1,0
Benfred Tallhart,Stark,2,1,1,0,1,0,0,0
Benfrey Frey,None,5,1,1,0,0,1,0,0
Benjen Stark,Night's Watch,1,1,1,1,0,0,0,0
Bennet,None,4,1,0,0,0,0,1,0
Beric Dondarrion,None,4,1,1,1,0,1,0,0
Bessa (Winterfell),Stark,,0,0,1,0,0,0,0
Beth Cassel,Stark,,0,1,1,1,0,0,0
Bhakaz zo Loraq,None,,1,1,0,0,0,0,1
Big Boil,Wildling,,1,0,0,0,1,0,0
Big Walder Frey,None,,1,1,1,1,0,0,1
Biter,None,4,1,0,0,1,0,1,0
Black Bernarr,Night's Watch,,1,0,0,0,1,0,1
Black Walder Frey,None,,1,1,0,0,1,0,0
Blane,Night's Watch,,1,0,0,1,0,0,0
